source_id,comparison_side,topic,exact_hypotheses,established_conclusion,reuse_class,aeether_flow_adaptation_needed,forbidden_overread,source_url
EPS-1972-FREE-FALL-LIGHT,continuum_first,constructive spacetime axiomatics,"Four-dimensional differentiable event manifold with axiomatized light rays and free-fall paths defining compatible conformal and projective structures","Compatible observational structures determine a Weylian or Lorentzian geometry within the declared continuum setting",direct_continuum_formalization,"Supply or openly assume dimension and differentiability; derive source fields dynamics and scale separately","EPS derives the P4-T02 source manifold or fixes its metric normalization",https://doi.org/10.1007/s10714-012-1353-4
HKM-1976-PATH-TOPOLOGY,continuum_first,path topology,"Curved spacetime and its timelike paths under the paper's causal and regularity setting","A path topology encodes causal differential and conformal information",continuum_recoverability_pattern,"Construct physically meaningful paths and prove the required causality and regularity from source data","Path-topology recoverability derives continuum structure from a bare finite order",https://doi.org/10.1063/1.522874
MALAMENT-1977-TIMELIKE-CURVES,continuum_first,causal reconstruction,"Past- and future-distinguishing spacetimes with continuous timelike curves fixed","Timelike-curve structure determines topology and conformal information for the scoped spacetime class",exact_scoped_reconstruction,"Derive a distinguishing continuum spacetime and physical timelike relation before applying the theorem","Any locally finite partial order uniquely determines a smooth four-dimensional spacetime",https://doi.org/10.1063/1.523436
CONNES-2013-SPECTRAL-RECONSTRUCTION,continuum_first,spectral reconstruction,"Commutative spectral triple satisfying strengthened reconstruction axioms including regularity finiteness orientability and spectral conditions","The data characterize a unique compact oriented smooth Riemannian spin manifold with a Dirac-type operator",enriched_reconstruction_pattern,"Identify and derive equally rich Lorentzian source-side algebraic data and prove all reconstruction axioms","Sparse process order already contains the required spectral triple or Lorentzian GR dynamics",https://doi.org/10.4171/JNCG/108
BFV-2003-LOCALLY-COVARIANT-QFT,continuum_first,functorial matter theory,"Globally hyperbolic spacetimes and isometric embeddings mapped covariantly to unital algebras","Local covariance and fields can be expressed as functors and natural transformations on supplied continuum backgrounds",downstream_category_architecture,"Derive the background category matter semantics and coupling rather than importing them","Functorial QFT establishes AEther-Flow matter coupling or derives spacetime",https://arxiv.org/abs/math-ph/0112041
BOMBELLI-ET-AL-1987-CAUSAL-SET,emergence_first,causal-set ontology,"Locally finite partially ordered set plus a proposed faithful manifold-approximation relation","Causal sets are proposed as microscopic spacetime and manifold approximation effective dimension and dynamics are investigated",direct_source_programme,"Define P4-T03 dynamics manifoldlikeness discriminator and exact source-to-target recovery obligations","The founding proposal proves P4-T03 continuum emergence or exact GR recovery",https://doi.org/10.1103/PhysRevLett.59.521
RIDEOUT-SORKIN-2000-SEQUENTIAL-GROWTH,emergence_first,source dynamics,"Sequential causal-set growth with internal temporality discrete general covariance Bell causality and a Markov sum rule","A broad family of classical stochastic growth dynamics follows from the declared conditions",candidate_dynamics_pattern,"Justify analogous conditions from AEther-Flow source ontology and still supply quantum or classical-limit analysis","Sequential growth is already P4-T03 dynamics or its exact-GR limit",https://arxiv.org/abs/gr-qc/9904062
MAJOR-RIDEOUT-SURYA-2007-TOPOLOGY,emergence_first,topology recovery,"Faithful high-density embedding into a globally hyperbolic spacetime plus suitable antichain and thickening conditions","Thickened-antichain nerves recover continuum homology under the conditional embedding hypotheses",conditional_bridge_mechanism,"Replace evaluator-side faithful embedding with a source-internal manifoldlikeness and robustness result","Conditional homology recovery proves that a bare order is manifoldlike",https://arxiv.org/abs/gr-qc/0604124
BENINCASA-DOWKER-2010-CURVATURE,emergence_first,curvature and action,"Causal sets well approximated by four-dimensional flat or curved spacetime and slowly varying fields relative to nonlocality scale","Retarded causal-set operators approximate the continuum d'Alembertian and curvature term and induce an approximate action",conditional_metric_dynamics_bridge,"Derive the four-dimensional manifold approximation and relate the action to the AEther-Flow source and exact-GR burdens","The curvature estimator derives dimension manifoldlikeness or Einstein dynamics from P4-T03",https://arxiv.org/abs/1001.2725
AMBJORN-JURKIEWICZ-LOLL-2004-4D,emergence_first,dynamical dimension,"Four-dimensional causal dynamical triangulations with model-specific histories gluing action measure and numerical phase","Numerical evidence supports a macroscopic four-dimensional universe within that model",richer_model_existence_evidence,"Supply comparably explicit histories dynamics measure observables and continuum-limit controls without importing the target","Four-dimensional CDT shows a bare locally finite order selects dimension four",https://arxiv.org/abs/hep-th/0404156
