entry_id,subject,source_type,debt_status,cost_class,rationale,downstream_use,removal_or_derivation_criterion,source_ref,forbidden_overread
P1T02-COST-001,A,smooth_source_manifold,canonical_primitive,primitive_debt,"Selected mainline continuum arena","All continuum source constructions","Recover a manifold from weaker adopted source data without target atlas input",TEX-ONTOLOGY-AETHER-FLOW-FOUNDATIONS,"Not physical spacetime or a derived foundation"
P1T02-COST-002,dim(A)=4,source_dimension,canonical_primitive,primitive_debt,"Four-dimensionality is assumed","Local field and bundle typing","Derive dimension from weaker source data without target dimension",TEX-ONTOLOGY-AETHER-FLOW-FOUNDATIONS,"Shared dimension does not identify source and target"
P1T02-COST-003,topology(A),manifold_topology,canonical_primitive,primitive_debt,"Topology is included in manifold structure","Continuity covers and gluing","Construct topology from weaker source relations",TEX-ONTOLOGY-AETHER-FLOW-FOUNDATIONS,"No target global topology or causal order"
P1T02-COST-004,smooth_atlas(A),compatible_source_charts,canonical_primitive,primitive_debt,"Smooth atlas class is assumed","Local representations and transitions","Recover smooth atlas from weaker source data",TEX-ONTOLOGY-AETHER-FLOW-FOUNDATIONS,"No privileged or target chart"
P1T02-COST-005,C-infinity_structure,differentiable_structure,canonical_primitive,primitive_debt,"Smooth compatibility is assumed","Tangent calculus bundles and sections","Derive differentiability in a controlled source limit",TEX-ONTOLOGY-AETHER-FLOW-FOUNDATIONS,"No connection metric or dynamics"
P1T02-COST-006,source_neighborhood_locality,topological_locality,canonical_primitive,primitive_debt,"Open-set locality follows from the manifold premise","Local fields restriction and gluing","Derive physical localization separately",TEX-ONTOLOGY-AETHER-FLOW-FOUNDATIONS,"No cone signal speed or causal locality"
P1T02-COST-007,Phi_src,abstract_source_order_or_evolution_slot,unresolved,unresolved_blocker,"Canonical source retains only an unfilled slot","Future source order or evolution","Adopt or derive exact domain algebra and law under the proper gate",TEX-ONTOLOGY-AETHER-FLOW-FOUNDATIONS,"Not target congruence physical time gauge or dynamics"
P1T02-COST-008,Phi_src_semiflow_candidate,continuous_forward_monoid_action,proposal_only_extension,proposal_debt,"V21 supplies one candidate semantics only","Potential source dynamics input","Obtain adoption authority after source-law evidence or replace materially",TEX-V21-P5-T02-PHI-SRC-SEMIFLOW-SEMANTICS-V1,"Not canonical Phi_src physical time or a generator"
P1T02-COST-009,mu_src,measure_or_volume_slot,unresolved,unresolved_blocker,"No canonical source measure exists","Actions averaging probability and limits","Derive transformation and normalization from source data or disclose a proposal",TEX-V21-P4-T01-COMPREHENSIVE-SOURCE-ASSUMPTION-LEDGER,"No target metric volume or benchmark normalization"
P1T02-COST-010,D_src,derivative_or_generator_slot,unresolved,unresolved_blocker,"Smoothness does not select a covariant derivative or generator","Field laws transport and principal symbols","Specify operator domain covariance and source provenance",TEX-ONTOLOGY-AETHER-FLOW-FOUNDATIONS,"No target Levi-Civita derivative"
