topic_id,topic_name,required,status,document_family,source_spec_path,github_markdown_path,html_output_path,publication_brief_id,migration_status,source_bundle,output_surfaces,owner_role,claim_boundary_id,notes
TOPIC-PROJECT-OVERVIEW,Project Overview,true,active,front_door,markdown/html-explainer-specs/project-overview-explainer.md,github-facing/project-overview-explainer.md,html/project-overview-explainer.html,PB-PROJECT-OVERVIEW,reviewed,README.md;AGENTS.md;research_control/README.md;research_control/design/documentation_curator_publication_process.md,github_markdown;html,documentation-curator,CB-DOCUMENTATION-CURATOR-PUBLICATION-PROCESS-001,Publication pilot rebuilt from a page-specific brief.
TOPIC-SOURCE-AUTHORITY-GENERATED-DERIVATIVES,Source Authority And Generated Derivatives,true,active,authority_boundary,markdown/html-explainer-specs/source-authority-explainer.md,github-facing/source-authority-explainer.md,html/source-authority-explainer.html,PB-SOURCE-AUTHORITY,reviewed,AGENTS.md;.codex/skills/project-memory-system/SKILL.md;.codex/skills/html-visual-explainer/SKILL.md;registries/MARKDOWN_SOURCE_REGISTRY.csv;registries/HTML_EXPLAINER_REGISTRY.csv;registries/WIKI_ARTIFACT_REGISTRY.csv;registries/FILE_OBJECT_REGISTRY.csv,github_markdown;html,documentation-curator,CB-DOCUMENTATION-CURATOR-PUBLICATION-PROCESS-001,Publication pilot rebuilt from a page-specific brief.
TOPIC-AETHER-FLOW-PHYSICS-PROGRAM,AEther-Flow Physics Program,true,active,physics_status,markdown/html-explainer-specs/aether-flow-physics-program-explainer.md,github-facing/aether-flow-physics-program-explainer.md,html/aether-flow-physics-program-explainer.html,,deferred,README.md;AGENTS.md;ontology/aether-and-aether-flow.md;research_control/design/gr_derivation_burden_map.md;registries/CLAIM_BOUNDARY_REGISTRY.csv,github_markdown;html,documentation-curator,,Deferred until pilot approval and explicit corpus migration authorization.
TOPIC-EXACT-GR-BENCHMARK-BOUNDARY,Exact-GR Benchmark Boundary,true,active,physics_status,markdown/html-explainer-specs/exact-gr-benchmark-boundary-explainer.md,github-facing/exact-gr-benchmark-boundary-explainer.md,html/exact-gr-benchmark-boundary-explainer.html,,deferred,README.md;AGENTS.md;ontology/aether-and-aether-flow.md;research_control/design/gr_derivation_burden_map.md;registries/CLAIM_BOUNDARY_REGISTRY.csv,github_markdown;html,documentation-curator,,Deferred until pilot approval and explicit corpus migration authorization.
TOPIC-AETHER-FLOW-ONTOLOGY,AEther-Flow Ontology,true,active,physics_status,markdown/html-explainer-specs/aether-flow-ontology-explainer.md,github-facing/aether-flow-ontology-explainer.md,html/aether-flow-ontology-explainer.html,,deferred,README.md;AGENTS.md;ontology/aether-and-aether-flow.md;registries/TEX_SOURCE_REGISTRY.csv;registries/CLAIM_BOUNDARY_REGISTRY.csv,github_markdown;html,documentation-curator,,Deferred until pilot approval and explicit corpus migration authorization.
TOPIC-GR-DERIVATION-ROADMAP,GR Derivation Roadmap,true,active,physics_status,markdown/html-explainer-specs/gr-derivation-roadmap-explainer.md,github-facing/gr-derivation-roadmap-explainer.md,html/gr-derivation-roadmap-explainer.html,,deferred,AGENTS.md;research_control/README.md;research_control/design/gr_derivation_burden_map.md;registries/CLAIM_BOUNDARY_REGISTRY.csv;registries/AGENT_JOB_REGISTRY.csv,github_markdown;html,documentation-curator,,Deferred until pilot approval and explicit corpus migration authorization.
TOPIC-RESEARCH-AGENT-SYSTEM,Research-Agent System,true,active,research_workflow,markdown/html-explainer-specs/research-agent-workflow-explainer.md,github-facing/research-agent-workflow-explainer.md,html/research-agent-workflow-explainer.html,,deferred,AGENTS.md;research_control/README.md;research_control/AGENTS.md;.agents/schemas/AGENT_JOB_SCHEMA.md;.agents/schemas/EXECUTION_ROLE_SCHEMA.md;registries/AGENT_JOB_REGISTRY.csv;registries/ROLE_EXECUTION_REGISTRY.csv;registries/DIRECTOR_DECISION_REGISTRY.csv,github_markdown;html,documentation-curator,,Deferred until pilot approval and explicit corpus migration authorization.
TOPIC-DIRECTOR-AGENTJOB-LIFECYCLE,Director Decisions And AgentJob Lifecycle,true,active,research_workflow,markdown/html-explainer-specs/director-agentjob-lifecycle-explainer.md,github-facing/director-agentjob-lifecycle-explainer.md,html/director-agentjob-lifecycle-explainer.html,,deferred,AGENTS.md;research_control/README.md;research_control/AGENTS.md;.agents/schemas/AGENT_JOB_SCHEMA.md;.agents/schemas/EXECUTION_ROLE_SCHEMA.md;registries/AGENT_JOB_REGISTRY.csv;registries/ROLE_EXECUTION_REGISTRY.csv;registries/DIRECTOR_DECISION_REGISTRY.csv,github_markdown;html,documentation-curator,,Deferred until pilot approval and explicit corpus migration authorization.
TOPIC-PARENT-CHILD-SYNTHESIS,Parent-Child Parallel Synthesis,true,active,research_workflow,markdown/html-explainer-specs/parent-child-synthesis-explainer.md,github-facing/parent-child-synthesis-explainer.md,html/parent-child-synthesis-explainer.html,,deferred,AGENTS.md;research_control/README.md;research_control/AGENTS.md;.agents/schemas/AGENT_JOB_SCHEMA.md;.agents/schemas/EXECUTION_ROLE_SCHEMA.md;registries/AGENT_JOB_REGISTRY.csv;registries/ROLE_EXECUTION_REGISTRY.csv,github_markdown;html,documentation-curator,,Deferred until pilot approval and explicit corpus migration authorization.
TOPIC-ROLE-ROUTING-EXECUTION-CONTRACTS,Role Routing And Execution Contracts,true,active,role_reference,markdown/html-explainer-specs/role-routing-explainer.md,github-facing/role-routing-explainer.md,html/role-routing-explainer.html,,deferred,AGENTS.md;research_control/README.md;.agents/schemas/EXECUTION_ROLE_SCHEMA.md;registries/AGENT_ROLE_REGISTRY.csv;registries/ROLE_EXECUTION_REGISTRY.csv,github_markdown;html,documentation-curator,,Deferred until pilot approval and explicit corpus migration authorization.
TOPIC-CLAIM-GATES-NEGATIVE-RESULTS-FREEZE,"Claim Gates, Negative Results, And Freeze Criteria",true,active,authority_boundary,markdown/html-explainer-specs/claim-gates-explainer.md,github-facing/claim-gates-explainer.md,html/claim-gates-explainer.html,,deferred,AGENTS.md;research_control/README.md;research_control/design/gr_derivation_burden_map.md;registries/CLAIM_BOUNDARY_REGISTRY.csv,github_markdown;html,documentation-curator,,Deferred until pilot approval and explicit corpus migration authorization.
TOPIC-DOC-CURATOR-TEACHING-LOOP,Documentation Curator Teaching Loop,true,active,documentation_process,markdown/html-explainer-specs/documentation-curator-teaching-loop-explainer.md,github-facing/documentation-curator-teaching-loop-explainer.md,html/documentation-curator-teaching-loop-explainer.html,,deferred,AGENTS.md;.agents/roles/research_ops/documentation-curator.v2.0.0.md;.agents/roles/research_ops/documentation-student.v0.1.0.md;.agents/roles/research_ops/documentation-teacher.v0.1.0.md;.agents/schemas/TEACHING_QA_PACKET_SCHEMA.md;research_control/design/documentation_curator_publication_process.md;registries/PUBLICATION_BRIEF_REGISTRY.csv;markdown/teaching-packets/documentation-curator-teaching-loop.teaching-qa.md,github_markdown;html,documentation-curator,,Deferred until pilot approval and explicit corpus migration authorization.
TOPIC-MEMORY-REGISTRIES-WIKI-RETRIEVAL,"Memory, Registries, Wiki, And Retrieval Surfaces",true,active,reference,markdown/html-explainer-specs/memory-system-explainer.md,github-facing/memory-system-explainer.md,html/memory-system-explainer.html,,deferred,AGENTS.md;.codex/skills/project-memory-system/SKILL.md;.codex/skills/html-visual-explainer/SKILL.md;registries/MARKDOWN_SOURCE_REGISTRY.csv;registries/HTML_EXPLAINER_REGISTRY.csv;registries/WIKI_ARTIFACT_REGISTRY.csv;registries/FILE_OBJECT_REGISTRY.csv;.codex/skills/obsidian-wiki/SKILL.md,github_markdown;html,documentation-curator,,Deferred until pilot approval and explicit corpus migration authorization.
