brief_id,page_title,document_type,migration_status,brief_path,source_spec_path,github_markdown_path,html_output_path,source_materials,visual_strategy,review_status,screenshot_desktop_path,screenshot_mobile_path,before_after_review_path,owner_role,approval_required_before_corpus_migration,notes
PB-TECHNICAL-REQUIREMENTS,Technical Requirements For Reproducible Operation,contributor_operator_guide,reviewed,markdown/publication-briefs/technical-requirements.publication-brief.md,markdown/html-explainer-specs/technical-requirements-explainer.md,github-facing/technical-requirements-explainer.md,html/technical-requirements-explainer.html,README.md;AGENTS.md;research_control/README.md;requirements.txt;Makefile;scripts/README.md;tests/README.md;.codex/skills/project-memory-system/SKILL.md;.codex/skills/improve-project-system/SKILL.md;.codex/skills/html-visual-explainer/SKILL.md;.codex/skills/visual-explainer/SKILL.md;.codex/skills/pdf-derivative-build/SKILL.md,annotated_table,reader_scope_footer_phase6_full_corpus_pass,research_control/tasks/RT-20260619-017/artifacts/screenshots/technical-requirements-desktop.png,research_control/tasks/RT-20260619-017/artifacts/screenshots/technical-requirements-mobile.png,research_control/tasks/RT-20260619-017/artifacts/reader_scope_footer_relocation_phase6_full_corpus_qa_review.md,documentation-curator,true,Reader Scope footer relocation Phase 6 full-corpus QA evidence; page content remains governed by source spec and publication brief.
PB-ROLES-AND-SKILLS,Roles And Skills Catalog,reference_catalog,reviewed,markdown/publication-briefs/roles-and-skills.publication-brief.md,markdown/html-explainer-specs/roles-and-skills-explainer.md,github-facing/roles-and-skills-explainer.md,html/roles-and-skills-explainer.html,registries/AGENT_ROLE_REGISTRY.csv;.agents/roles/;.codex/skills/continue-research/SKILL.md;.codex/skills/improve-project-system/SKILL.md;.codex/skills/project-memory-system/SKILL.md;.codex/skills/html-visual-explainer/SKILL.md;.codex/skills/visual-explainer/SKILL.md,role_matrix,reader_scope_footer_phase6_full_corpus_pass,research_control/tasks/RT-20260619-017/artifacts/screenshots/roles-and-skills-desktop.png,research_control/tasks/RT-20260619-017/artifacts/screenshots/roles-and-skills-mobile.png,research_control/tasks/RT-20260619-017/artifacts/reader_scope_footer_relocation_phase6_full_corpus_qa_review.md,documentation-curator,true,Reader Scope footer relocation Phase 6 full-corpus QA evidence; page content remains governed by source spec and publication brief.
PB-MEMORY-SYSTEM,Memory Registries Wiki And Retrieval Surfaces,reference_catalog,reviewed,markdown/publication-briefs/memory-system.publication-brief.md,markdown/html-explainer-specs/memory-system-explainer.md,github-facing/memory-system-explainer.md,html/memory-system-explainer.html,AGENTS.md;.codex/skills/project-memory-system/SKILL.md;.codex/skills/obsidian-wiki/SKILL.md;registries/MARKDOWN_SOURCE_REGISTRY.csv;registries/TEX_SOURCE_REGISTRY.csv;registries/HTML_EXPLAINER_REGISTRY.csv;registries/WIKI_ARTIFACT_REGISTRY.csv;registries/OBSIDIAN_VAULT_REGISTRY.csv;registries/CONTENT_SEMANTIC_REGISTRY.csv;FOLDER_MAP.md,layered_architecture,reader_scope_footer_phase6_full_corpus_pass,research_control/tasks/RT-20260619-017/artifacts/screenshots/memory-system-desktop.png,research_control/tasks/RT-20260619-017/artifacts/screenshots/memory-system-mobile.png,research_control/tasks/RT-20260619-017/artifacts/reader_scope_footer_relocation_phase6_full_corpus_qa_review.md,documentation-curator,true,Reader Scope footer relocation Phase 6 full-corpus QA evidence; page content remains governed by source spec and publication brief.
PB-VALIDATOR-OPERATOR-WORKFLOW,Validator And Operator Workflow,contributor_operator_guide,reviewed,markdown/publication-briefs/validator-operator-workflow.publication-brief.md,markdown/html-explainer-specs/validator-operator-workflow-explainer.md,github-facing/validator-operator-workflow-explainer.md,html/validator-operator-workflow-explainer.html,README.md;AGENTS.md;.codex/skills/project-memory-system/SKILL.md;.codex/skills/improve-project-system/SKILL.md;scripts/README.md;tests/README.md;scripts/validate_publication_process.py;scripts/project_control/validate_documentation_impact.py;scripts/research_control/validate_research_control.py,annotated_table,reader_scope_footer_phase6_full_corpus_pass,research_control/tasks/RT-20260619-017/artifacts/screenshots/validator-operator-workflow-desktop.png,research_control/tasks/RT-20260619-017/artifacts/screenshots/validator-operator-workflow-mobile.png,research_control/tasks/RT-20260619-017/artifacts/reader_scope_footer_relocation_phase6_full_corpus_qa_review.md,documentation-curator,true,Reader Scope footer relocation Phase 6 full-corpus QA evidence; page content remains governed by source spec and publication brief.
PB-DOCUMENTATION-CURATOR-PUBLICATION-PROCESS,Documentation Curator Publication Process,workflow_guide,reviewed,markdown/publication-briefs/documentation-curator-publication-process.publication-brief.md,markdown/html-explainer-specs/documentation-curator-publication-process-explainer.md,github-facing/documentation-curator-publication-process-explainer.md,html/documentation-curator-publication-process-explainer.html,research_control/design/documentation_curator_publication_process.md;.agents/roles/research_ops/documentation-curator.v2.0.0.md;markdown/publication-briefs/README.md;registries/PUBLICATION_BRIEF_REGISTRY.csv;scripts/validate_publication_process.py;research_control/tasks/RT-20260618-007/artifacts/publication_process_requirement_audit.md;research_control/tasks/RT-20260618-007/artifacts/publication_pilot_before_after_review.md,process_timeline,reader_scope_footer_phase6_full_corpus_pass,research_control/tasks/RT-20260619-017/artifacts/screenshots/documentation-curator-publication-process-desktop.png,research_control/tasks/RT-20260619-017/artifacts/screenshots/documentation-curator-publication-process-mobile.png,research_control/tasks/RT-20260619-017/artifacts/reader_scope_footer_relocation_phase6_full_corpus_qa_review.md,documentation-curator,true,Reader Scope footer relocation Phase 6 full-corpus QA evidence; page content remains governed by source spec and publication brief.
PB-PROJECT-SYSTEM-IMPROVEMENT,Project-System Improvement Loop,workflow_guide,reviewed,markdown/publication-briefs/project-system-improvement.publication-brief.md,markdown/html-explainer-specs/project-system-improvement-explainer.md,github-facing/project-system-improvement-explainer.md,html/project-system-improvement-explainer.html,AGENTS.md;research_control/README.md;.codex/skills/improve-project-system/SKILL.md;scripts/project_control/classify_project_changes.py;scripts/project_control/resolve_project_improvement.py;registries/PROJECT_IMPROVEMENT_SIGNAL_TYPE_REGISTRY.csv;registries/PROJECT_IMPROVEMENT_SIGNAL_REGISTRY.csv,process_timeline,reader_scope_footer_phase6_full_corpus_pass,research_control/tasks/RT-20260619-017/artifacts/screenshots/project-system-improvement-desktop.png,research_control/tasks/RT-20260619-017/artifacts/screenshots/project-system-improvement-mobile.png,research_control/tasks/RT-20260619-017/artifacts/reader_scope_footer_relocation_phase6_full_corpus_qa_review.md,documentation-curator,true,Reader Scope footer relocation Phase 6 full-corpus QA evidence; page content remains governed by source spec and publication brief.
PB-PARENT-CHILD-SYNTHESIS,Parent-Child Parallel Synthesis,concept_explainer,reviewed,markdown/publication-briefs/parent-child-synthesis.publication-brief.md,markdown/html-explainer-specs/parent-child-synthesis-explainer.md,github-facing/parent-child-synthesis-explainer.md,html/parent-child-synthesis-explainer.html,README.md;AGENTS.md;research_control/README.md;research_control/AGENTS.md;.agents/schemas/AGENT_JOB_SCHEMA.md;.agents/schemas/EXECUTION_ROLE_SCHEMA.md;registries/AGENT_JOB_REGISTRY.csv,state_model,reader_scope_footer_phase6_full_corpus_pass,research_control/tasks/RT-20260619-017/artifacts/screenshots/parent-child-synthesis-desktop.png,research_control/tasks/RT-20260619-017/artifacts/screenshots/parent-child-synthesis-mobile.png,research_control/tasks/RT-20260619-017/artifacts/reader_scope_footer_relocation_phase6_full_corpus_qa_review.md,documentation-curator,true,Reader Scope footer relocation Phase 6 full-corpus QA evidence; page content remains governed by source spec and publication brief.
PB-ROLE-ROUTING,Role Routing And Execution Contracts,reference_catalog,reviewed,markdown/publication-briefs/role-routing.publication-brief.md,markdown/html-explainer-specs/role-routing-explainer.md,github-facing/role-routing-explainer.md,html/role-routing-explainer.html,research_control/README.md;registries/AGENT_ROLE_REGISTRY.csv;registries/ROLE_EXECUTION_REGISTRY.csv;.agents/schemas/ROLE_SCHEMA.md;.agents/schemas/EXECUTION_ROLE_SCHEMA.md;.agents/roles/,role_matrix,reader_scope_footer_phase6_full_corpus_pass,research_control/tasks/RT-20260619-017/artifacts/screenshots/role-routing-desktop.png,research_control/tasks/RT-20260619-017/artifacts/screenshots/role-routing-mobile.png,research_control/tasks/RT-20260619-017/artifacts/reader_scope_footer_relocation_phase6_full_corpus_qa_review.md,documentation-curator,true,Reader Scope footer relocation Phase 6 full-corpus QA evidence; page content remains governed by source spec and publication brief.
PB-RESEARCH-AGENT-WORKFLOW,Research-Agent Workflow,workflow_guide,reviewed,markdown/publication-briefs/research-agent-workflow.publication-brief.md,markdown/html-explainer-specs/research-agent-workflow-explainer.md,github-facing/research-agent-workflow-explainer.md,html/research-agent-workflow-explainer.html,README.md;AGENTS.md;research_control/README.md;research_control/AGENTS.md;.codex/skills/continue-research/SKILL.md;.codex/skills/improve-project-system/SKILL.md;registries/AGENT_ROLE_REGISTRY.csv,process_timeline,reader_scope_footer_phase6_full_corpus_pass,research_control/tasks/RT-20260619-017/artifacts/screenshots/research-agent-workflow-desktop.png,research_control/tasks/RT-20260619-017/artifacts/screenshots/research-agent-workflow-mobile.png,research_control/tasks/RT-20260619-017/artifacts/reader_scope_footer_relocation_phase6_full_corpus_qa_review.md,documentation-curator,true,Reader Scope footer relocation Phase 6 full-corpus QA evidence; page content remains governed by source spec and publication brief.
PB-DIRECTOR-AGENTJOB-LIFECYCLE,Director Decisions And AgentJob Lifecycle,decision_or_lifecycle_guide,reviewed,markdown/publication-briefs/director-agentjob-lifecycle.publication-brief.md,markdown/html-explainer-specs/director-agentjob-lifecycle-explainer.md,github-facing/director-agentjob-lifecycle-explainer.md,html/director-agentjob-lifecycle-explainer.html,research_control/README.md;research_control/AGENTS.md;.agents/schemas/DIRECTOR_DECISION_SCHEMA.md;.agents/schemas/AGENT_JOB_SCHEMA.md;.agents/schemas/EXECUTION_ROLE_SCHEMA.md;registries/DIRECTOR_DECISION_REGISTRY.csv;registries/AGENT_JOB_REGISTRY.csv;registries/ROLE_EXECUTION_REGISTRY.csv,state_model,reader_scope_footer_phase6_full_corpus_pass,research_control/tasks/RT-20260619-017/artifacts/screenshots/director-agentjob-lifecycle-desktop.png,research_control/tasks/RT-20260619-017/artifacts/screenshots/director-agentjob-lifecycle-mobile.png,research_control/tasks/RT-20260619-017/artifacts/reader_scope_footer_relocation_phase6_full_corpus_qa_review.md,documentation-curator,true,Reader Scope footer relocation Phase 6 full-corpus QA evidence; page content remains governed by source spec and publication brief.
