proof_normal_form_row_id,object_id,source_artifact_path,claim_type,authority_status,status,premises,forbidden_premises,conclusion,scope,allowed_uses,non_conclusions,depends_on,eligible_next_routes,machine_checkable_fragment,created_at,notes
PNF-RT-20260706-014-001,TEX-RESEARCH-CONTROL-M-SRC-GSC-INTEGRATED-SOURCE-ONLY-ADOPTION-THEOREM-GATE-CHAIR-REVIEW,research_control/tasks/RT-20260614-134/artifacts/165_M_SRC_GSC_INTEGRATED_SOURCE_ONLY_ADOPTION_THEOREM_GATE_CHAIR_REVIEW.tex,decision,scientific_gate,scoped_adopted,Audited and stressed M_src GSC candidate under H1-H13 with fail-closed obstruction discipline,target_topology;target_metric;proper_time;detector_semantics;benchmark_success;registry_or_generated_authority;source_law_adoption,M_src GSC candidate is adopted only as scoped source-only M_src object,source-only M_src under H1-H13 and fail-closed obstruction discipline,prerequisite context for later bounded g_eff preflight selection,not target manifold;not smooth target atlas;not target metric;not g_eff construction;not matter coupling;not Einstein equations;not benchmark promotion;not completed derivation,TEX-RESEARCH-CONTROL-M-SRC-GSC-INTEGRATED-SOURCE-ONLY-ADOPTION-THEOREM-REFUTER-STRESS;TEX-RESEARCH-CONTROL-M-SRC-GSC-INTEGRATED-SOURCE-ONLY-ADOPTION-THEOREM-SMUGGLING-AUDIT;TEX-RESEARCH-CONTROL-M-SRC-GSC-INTEGRATED-SOURCE-ONLY-ADOPTION-THEOREM-ATTEMPT,bounded_source_side_continuation;proof_normal_form_validator,false,2026-07-06T10:36:00Z,P7-T02 row indexes Gate Chair source authority and does not replace TeX
PNF-RT-20260706-014-002,TEX-RESEARCH-CONTROL-NONBOTTOM-METRICDATA-WITNESS-SRC-GSC-POST-GATE-GEFF-CANDIDATE-SCOPED-SOURCE-EXTENSION-ADOPTION-GATE-CHAIR-REVIEW,research_control/tasks/RT-20260614-222/artifacts/251_NONBOTTOM_METRICDATA_WITNESS_SRC_GSC_POST_GATE_GEFF_CANDIDATE_SCOPED_SOURCE_EXTENSION_ADOPTION_GATE_CHAIR_REVIEW.tex,decision,scientific_gate,scoped_adopted,Accepted scoped evidence chain for g_eff candidate under declared source-side source-extension scope,target_topology;target_metric;proper_time;detector_semantics;MetricData(E)_adoption;source_law_adoption;benchmark_success,g_eff candidate is adopted only as scoped source-extension g_eff object,declared beta-separated marked finite-graph source-extension chain with T_src data,source-side context for later non-promotional matter-coupling precondition selector,not MetricData(E) adoption;not MetricFormAssign source law;not SigScaleCont source law;not unscoped g_eff;not target Lorentzian metric;not matter coupling;not Einstein equations;not benchmark promotion;not completed derivation,TEX-RESEARCH-CONTROL-NONBOTTOM-METRICDATA-WITNESS-SRC-GSC-POST-GATE-METRICFORMASSIGN-GEFF-CANDIDATE-SOURCE-EXTENSION-EVIDENCE-GATE-CHAIR-REVIEW,bounded_post_geff_selector;proof_normal_form_validator,false,2026-07-06T10:36:00Z,P7-T02 row indexes scoped g_eff status and blocks physical-metric overread
PNF-RT-20260706-014-003,TEX-V15-P3-T02-SOURCE-CERTIFICATE-OPERATION-LAWS,research_control/tasks/RT-20260702-064/artifacts/source_certificate_operation_laws_v1.tex,theorem,science_draft,draft_control,Source certificate primitives and valid declared source scopes with fail-closed malformed or missing certificate branches,target_metric;detector_semantics;benchmark_behavior;stress_energy_semantics;matter_action;registry_status;validator_status;process_authority,Draft/control certificate operation laws support declared-scope identity composition restriction and fail-closed behavior,conditional source-side certificate algebra under declared source scope,later candidate target and audit packets may use the operation discipline as support-only source-side hygiene,not source-law adoption;not RR_ETransportCompletenessOrInvarianceLaw_v1 adoption;not PositiveMSProfile_v1 adoption;not SourceMatterSemanticsAdoptionReadinessLaw_v1 adoption;not matter semantics;not detector semantics;not coupling law;not matter coupling;not stress-energy;not matter action;not Einstein equations;not benchmark promotion;not completed derivation,TEX-V15-P3-T01-SOURCE-CERTIFICATE-ALGEBRA-PRIMITIVES;TEX-V15-NARROW-MS-CERT-EQ-GATE-CHAIR-REVIEW;TEX-V15-P2-T05-MATTER-SEMANTICS-EQUIVALENCE-THEOREM-REFUTER-STRESS,bounded_certificate_aware_candidate_work;proof_normal_form_validator,false,2026-07-06T10:36:00Z,P7-T02 row preserves draft/control theorem status
PNF-RT-20260706-014-004,TEX-V16-P3-SOURCE-SIDE-COUPLING-LAW-TARGET-SPECIFICATION,research_control/tasks/RT-20260704-021/artifacts/source_side_coupling_law_target_specification_v1.tex,definition,science_draft,draft_control,Explicit source certificates source matter-semantics input scope detector blocked marker no-target guard and finite witness or obstruction obligation,target_topology;target_atlas;target_Lorentzian_metric;proper_time;detector_protocol;empirical_calibration;stress_energy;matter_action;benchmark_behavior;Einstein_equation_premise,Source-side coupling-law target specification defines audit-eligibility floor only,source-side target specification for future K_E candidate under explicit certificates,later candidate construction self-check audit and stress may test against this target,not source-law adoption;not unrestricted RR_E theorem;not matter semantics adoption;not detector semantics adoption;not coupling-law adoption;not matter-coupling derivation;not stress-energy semantics;not matter action;not Einstein equations;not benchmark promotion;not completed derivation,MD-RESEARCH-CONTROL-DESIGN-MATTER-COUPLING-DEPENDENCY-DAG-V1;TEX-V15-P3-T02-SOURCE-CERTIFICATE-OPERATION-LAWS,bounded_candidate_construction;proof_normal_form_validator,false,2026-07-06T10:36:00Z,P7-T02 row records target specification as support target not adopted law
PNF-RT-20260706-014-005,TEX-V17-P1-T02-SOURCE-SIDE-COUPLING-LAW-CANDIDATE,research_control/tasks/RT-20260705-047/artifacts/source_side_coupling_law_candidate_v1.tex,definition,science_draft,draft_control,Finite source event SMScope certificate bundle detector missing-and-blocked marker K_EStar map no-target guard and finite witness,target_metric;target_topology;stress_energy_tensor;matter_action;Einstein_equation;empirical_detector_response;generated_derivative_authority;proof_authority,One finite source-side K_EStar candidate graph exists as draft/control and audit-eligible only,finite two-object source-side candidate under SourceCouplingLawCandidate_EStar_v1,later self-check audit stress and selector packets may inspect the candidate,not source-side coupling law;not detector semantics;not matter semantics;not stress-energy semantics;not matter action;not matter-coupling derivation;not Einstein equations;not benchmark promotion;not proof authority;not completed derivation;not general law existence,TEX-V16-P3-SOURCE-SIDE-COUPLING-LAW-TARGET-SPECIFICATION;TEX-V15-P2-T01-T02-SOURCE-SIDE-MATTER-SEMANTICS-OBJECT-CERTIFICATE-MANIFEST;TEX-V15-P3-T01-SOURCE-CERTIFICATE-ALGEBRA-PRIMITIVES;TEX-V15-P3-T02-SOURCE-CERTIFICATE-OPERATION-LAWS,bounded_self_check;smuggling_audit;refuter_stress;proof_normal_form_validator,false,2026-07-06T10:36:00Z,P7-T02 row records finite candidate status with no adoption
PNF-RT-20260706-014-006,TEX-RESEARCH-CONTROL-RESP-LC-FINITE-TOY-METRIC-RESPONSE-MODEL-REFUTER-STRESS-TEST,research_control/tasks/RT-20260614-055/artifacts/96_RESP_LC_FINITE_TOY_METRIC_RESPONSE_MODEL_REFUTER_STRESS_TEST.tex,obstruction,science_draft,frozen_negative,Explicit-tag-only finite toy metric-response model with tag-erasure and finite tag perturbation stress,target_metric;proper_time;matter_coupling;benchmark;validation_authority;untagged_response_law;global_no_go_language,Explicit-tag-only finite toy metric-response route is locally frozen as scoped obstruction after tag-removal stress,Resp_lc finite toy explicit-tag route only,preserve as negative-result guard against overreading toy tags as source response law,not canonical ontology;not Resp_lc witness;not M_src;not g_eff;not matter coupling;not Einstein equations;not benchmark evidence;not Gate Chair verdict;not completed derivation;not future source-extension impossibility;not global theory rejection,TEX-RESEARCH-CONTROL-RESP-LC-FINITE-TOY-METRIC-RESPONSE-MODEL-SMUGGLING-AUDIT;TEX-RESEARCH-CONTROL-RESP-LC-FINITE-TOY-METRIC-RESPONSE-MODEL,scoped_obstruction_freeze_review;proof_normal_form_validator,false,2026-07-06T10:36:00Z,P7-T02 row preserves frozen local negative result without globalizing it
PNF-RT-20260706-014-007,TEX-RESEARCH-CONTROL-RESP-LC-SOURCE-EXTENSION-HUMAN-GATE-ADOPTION-DECISION,research_control/tasks/RT-20260614-060/artifacts/101_RESP_LC_SOURCE_EXTENSION_HUMAN_GATE_ADOPTION_DECISION.tex,decision,scientific_gate,scoped_adopted,Human-gated adoption of Xi_X^R as explicit source-extension data for S_X plus Resp_lc continuation,target_proper_time;empirical_ruler;matter_coupling_law;stress_energy_response;detector_protocol;benchmark_readout;automatic_M_src;automatic_g_eff;automatic_Einstein,Xi_X^R is adopted only as admissible source-extension data for Resp_lc continuation,S_X plus Xi_X^R source-extension route for later bounded Resp_lc packets,later source-side response-extension continuation may use S_X plus Xi_X^R as input,not canonical ontology edit;not derivation from old S_X;not M_src;not g_eff;not matter coupling;not Einstein equations;not benchmark evidence;not closure verdict;not completed derivation;not future source-extension impossibility,TEX-RESEARCH-CONTROL-RESP-LC-SOURCE-EXTENSION-CANDIDATE-REFUTER-STRESS-TEST;TEX-RESEARCH-CONTROL-RESP-LC-SOURCE-EXTENSION-CANDIDATE-SMUGGLING-AUDIT;TEX-RESEARCH-CONTROL-RESP-LC-SOURCE-EXTENSION-CANDIDATE,bounded_Resp_lc_continuation;proof_normal_form_validator,false,2026-07-06T10:36:00Z,P7-T02 row indexes narrow human-gated source-extension decision
PNF-RT-20260708-025-001,PY-V18-P7-T02-TYPED-EQSRC-ORBIT-CHECKER,scripts/research_control/support_formalization/typed_eqsrc_orbit_checker.py,boundary,support_only,draft_control,tool source exists;focused tests pass;deterministic report passes;v18 traceability row records support-only boundary,source-law adoption;unrestricted EqSrc theorem authority;RetainH adoption;GenH adoption;target metric import;MetricData(E) adoption;g_eff adoption;matter coupling;Einstein equations;benchmark promotion;Gate Chair verdict;completed derivation,Typed EqSrc orbit checker is support-only finite-record validation evidence only,v18 P7 support-formalization traceability and finite-record checking,traceability validation;reader support;P7-T08 Refuter overread review,not proof authority;not general EqSrc theorem;not source-law adoption;not RetainH adoption;not GenH adoption;not target metric import;not MetricData(E) adoption;not g_eff adoption;not matter coupling;not Einstein equations;not benchmark promotion;not Gate Chair verdict;not completed derivation,MD-RESEARCH-CONTROL-TASKS-RT-20260708-020-TYPED-EQSRC-ORBIT-CHECKER-SPEC-V1;MD-RESEARCH-CONTROL-DESIGN-SOURCE-EQUIVALENCE-TYPED-OBJECT-SCHEMA-V1,support_formalization_traceability;P7-T08_refuter_review,true,2026-07-08T14:22:38Z,P7-T07 support-only PNF row for typed EqSrc orbit checker
PNF-RT-20260708-025-002,PY-V18-P7-T03-CLOSURE-COUNTERMODEL-GENERATOR,scripts/research_control/support_formalization/closure_countermodel_generator.py,boundary,support_only,draft_control,tool source exists;focused tests pass;deterministic report passes;v18 traceability row records support-only boundary,source-law adoption;unrestricted EqSrc theorem authority;RetainH adoption;GenH adoption;target metric import;MetricData(E) adoption;g_eff adoption;matter coupling;Einstein equations;benchmark promotion;Gate Chair verdict;completed derivation,Closure countermodel generator is support-only finite mock-record evidence only,v18 P7 support-formalization missing-closure fixture generation,traceability validation;reader support;P7-T08 Refuter overread review,not proof authority;not general EqSrc theorem;not RetainH adoption;not GenH adoption;not source-law adoption;not target metric import;not MetricData(E) adoption;not g_eff adoption;not matter coupling;not Einstein equations;not benchmark promotion;not Gate Chair verdict;not completed derivation,MD-RESEARCH-CONTROL-TASKS-RT-20260708-021-CLOSURE-COUNTERMODEL-GENERATOR-SPEC-V1;MD-RESEARCH-CONTROL-TASKS-RT-20260708-020-TYPED-EQSRC-ORBIT-CHECKER-SPEC-V1,support_formalization_traceability;P7-T08_refuter_review,true,2026-07-08T14:22:38Z,P7-T07 support-only PNF row for closure countermodel generator
PNF-RT-20260708-025-003,PY-V18-P7-T04-NO-TARGET-IMPORT-MUTATION-TESTER,scripts/research_control/support_formalization/no_target_import_mutation_tester.py,boundary,support_only,draft_control,tool source exists;focused tests pass;deterministic report passes;v18 traceability row records support-only boundary,source-law adoption;target metric import;proper-time normalization;detector semantics adoption;MetricData(E) adoption;g_eff adoption;stress-energy semantics;matter action;matter coupling;Einstein equations;benchmark promotion;Gate Chair verdict;completed derivation,No-target import mutation tester is support-only linter stress evidence only,v18 P7 support-formalization target-import hygiene mutation testing,traceability validation;reader support;P7-T08 Refuter overread review,not proof authority;not validator-policy theorem;not source-law adoption;not target metric import;not proper-time normalization;not detector semantics adoption;not MetricData(E) adoption;not g_eff adoption;not stress-energy semantics;not matter action;not matter coupling;not Einstein equations;not benchmark promotion;not Gate Chair verdict;not completed derivation,MD-RESEARCH-CONTROL-TASKS-RT-20260708-022-NO-TARGET-IMPORT-MUTATION-TESTER-SPEC-V1;MD-RESEARCH-CONTROL-DESIGN-NO-TARGET-IMPORT-GUARD-MAP,support_formalization_traceability;P7-T08_refuter_review,true,2026-07-08T14:22:38Z,P7-T07 support-only PNF row for no-target import mutation tester
