recommendation_id,recommendation_text,primary_phase,primary_task,secondary_tasks,expected_output_paths,validator_or_receipt,physics_promotion_allowed,status,implementation_evidence_path
"V15-R01","Execute the selected next theorem packet exactly as scoped.","P2","P2-T03","P0-T02;P1-T01;P2-T01;P2-T02;P2-T04;P2-T05;P2-T06","research_control/tasks/<task_id>/artifacts/narrow_source_side_matter_semantics_equivalence_theorem_v1.tex;research_control/tasks/<task_id>/artifacts/post_theorem_route_selector_v1.md","research-control validation;claim-language validation;theorem-packet completion receipt","false","planned_deferred_until_P1_complete","implementations_plans/recommendations_implementation_plan_continue_task-v15.md;research_control/handoffs/handoff-0505.yaml;research_control/handoffs/handoff-0507.yaml"
"V15-R02","Do not route directly to matter coupling, stress-energy, Einstein equations, or benchmark promotion.","P8","P8-T01","P2-T01;P8-T02;P19-T01","research_control/design/einstein_equation_route_moratorium_v1.md","claim-language validation;research-control validation;coverage audit","false","planned_pending","implementations_plans/recommendations_implementation_plan_continue_task-v15.md;research_control/handoffs/handoff-0507.yaml"
"V15-R03","In the next theorem packet, explicitly identify source-side matter-semantics objects.","P2","P2-T02","P2-T01;P2-T03;P3-T01;P4-T03","research_control/tasks/<task_id>/artifacts/source_side_matter_semantics_object_certificate_manifest_v1.tex","research-control validation;claim-language validation;theorem-packet completion receipt","false","planned_pending","implementations_plans/recommendations_implementation_plan_continue_task-v15.md;research_control/handoffs/handoff-0507.yaml"
"V15-R04","Declare explicit source transport, invariance, or factorization certificates.","P2","P2-T02","P2-T03;P3-T01;P3-T02;P3-T03","research_control/tasks/<task_id>/artifacts/source_side_matter_semantics_object_certificate_manifest_v1.tex;research_control/tasks/<task_id>/artifacts/source_certificate_algebra_primitives_v1.tex","research-control validation;certificate checklist receipt;claim-language validation","false","planned_pending","implementations_plans/recommendations_implementation_plan_continue_task-v15.md;research_control/handoffs/handoff-0507.yaml"
"V15-R05","Define equivalence without detector semantics.","P2","P2-T03","P2-T02;P2-T04;P4-T03;P14-T02","research_control/tasks/<task_id>/artifacts/narrow_source_side_matter_semantics_equivalence_theorem_v1.tex;research_control/design/semantic_layer_separation_control_note.md","smuggling-audit receipt;claim-language validation;research-control validation","false","planned_pending","implementations_plans/recommendations_implementation_plan_continue_task-v15.md;research_control/handoffs/handoff-0507.yaml"
"V15-R06","Enforce fail-closed behavior for missing certificates.","P2","P2-T03","P2-T05;P3-T02;P3-T03;P6-T01","research_control/tasks/<task_id>/artifacts/narrow_source_side_matter_semantics_equivalence_theorem_v1.tex;research_control/design/source_certificate_algebra_checklist.md","theorem completion receipt;Refuter stress receipt;research-control validation","false","planned_pending","implementations_plans/recommendations_implementation_plan_continue_task-v15.md;research_control/handoffs/handoff-0507.yaml"
"V15-R07","Prohibit target metric, benchmark behavior, detector semantics, stress-energy, and matter action as premises.","P2","P2-T04","P2-T01;P4-T03;P13-T01;P13-T02;P14-T01","research_control/tasks/<task_id>/artifacts/matter_semantics_equivalence_theorem_smuggling_audit_v1.tex;research_control/design/public_status_exists_does_not_exist_source_spec.md","smuggling-audit receipt;claim-language validation;public-status receipt","false","planned_pending","implementations_plans/recommendations_implementation_plan_continue_task-v15.md;research_control/handoffs/handoff-0507.yaml"
"V15-R08","Require exact output status: theorem, conditional theorem, scoped evidence, or obstruction.","P2","P2-T06","P2-T03;P2-T05;P7-T01;P9-T01;P19-T01","research_control/tasks/<task_id>/artifacts/post_theorem_route_selector_v1.md;research_control/design/refuter_obstruction_schema_v1.md","completion schema receipt;research-control validation;coverage audit","false","planned_pending","implementations_plans/recommendations_implementation_plan_continue_task-v15.md;research_control/handoffs/handoff-0507.yaml"
"V15-R09","Restate forbidden conclusions in every high-risk completion.","P0","all_high_risk_completion_records","P0-T01;P0-T02;P0-T03;P1-T01;P2-T01;P7-T01;P13-T01;P19-T01","research_control/tasks/<task_id>/jobs/completions/AJC-*.yaml","claim-language validation;research-control validation;coverage audit","false","active_receipt_requirement","implementations_plans/recommendations_implementation_plan_continue_task-v15.md;research_control/tasks/RT-20260702-053/jobs/completions/AJC-AJ-RT-20260702-053-001.yaml;research_control/tasks/RT-20260702-054/jobs/completions/AJC-AJ-RT-20260702-054-001.yaml"
"V15-R10","Build a matter-coupling dependency DAG.","P4","P4-T01","P4-T02;P12-T01;P12-T02;P12-T03","research_control/design/matter_coupling_dependency_dag_schema_v1.md;research_control/design/matter_coupling_dependency_dag_v1.md","DAG validation receipt;claim graph validation;research-control validation","false","planned_pending","implementations_plans/recommendations_implementation_plan_continue_task-v15.md;research_control/handoffs/handoff-0507.yaml"
"V15-R11","Separate source matter semantics, detector semantics, and stress-energy/action semantics.","P4","P4-T03","P4-T04;P14-T01;P14-T02;P14-T03","research_control/design/semantic_layer_separation_control_note.md;research_control/design/epistemic_category_glossary.md","semantic-layer receipt;claim-language validation;public-doc receipt","false","planned_pending","implementations_plans/recommendations_implementation_plan_continue_task-v15.md;research_control/handoffs/handoff-0507.yaml"
