claim_boundary_id,scope,applies_to_path,allowed_claims,forbidden_claims,requires_gate_for,authority_source_path,status,created_at,updated_at,notes
CB-V13-P2-T02-SOURCE-MATTER-SEMANTICS-ADOPTION-READINESS-LAW-GATE-CHAIR-EVIDENCE-STATUS-001,task,research_control/tasks/RT-20260701-009,Accept SourceMatterSemanticsAdoptionReadinessLaw_v1 only as scoped source-extension matter-semantics adoption-readiness evidence/precondition;record route_label ontology-law-research-packet;route only to P2-T03 boundary update or selector classification;no source-law or downstream GR claim promotion,canonical ontology edit;canonical-ontology candidate status;source-law adoption;SourceMatterSemanticsAdoptionReadinessLaw_v1 adoption as law;source-extension data adoption beyond this exact scoped result;MetricData(E) adoption;g_eff adoption or scope expansion;coupling-law adoption;matter-semantics adoption;detector-semantics adoption;matter-coupling derivation;matter-coupling adoption;stress-energy semantics import;stress-energy tensor construction;matter action import;Einstein equation derivation;benchmark promotion;completed derivation claim;readiness-law evidence as source-law adoption;readiness-law evidence as matter semantics;readiness-law evidence as detector semantics;readiness-law evidence as coupling-law adoption;readiness-law evidence as matter coupling;readiness-law evidence as stress-energy semantics;readiness-law evidence as matter action;readiness-law evidence as Einstein equations;future source-extension impossibility;global theory rejection;current_frontier snapshot as status authority;generated memory as physics evidence;generated wiki as canonical gate result;semantic extract as proof;vault note as proof;file-object row as proof;relationship row as proof;local cache as proof;validator output as proof;registry metadata as proof;role as proof;approval as proof;commit status as proof,canonical ontology edit;canonical-ontology candidate status;source-law adoption;SourceMatterSemanticsAdoptionReadinessLaw_v1 adoption as law;source-extension data adoption beyond exact scoped gate result;MetricData(E) adoption;g_eff adoption or scope expansion;coupling-law adoption;matter-semantics adoption;detector-semantics adoption;matter-coupling derivation;matter-coupling adoption;stress-energy semantics;stress-energy tensor;matter action;Einstein equations adoption;benchmark promotion;completed derivation;benchmark Gate Chair closure;physics claim promotion;future source-extension impossibility;global theory rejection,research_control/tasks/RT-20260701-009/artifacts/source_matter_semantics_adoption_readiness_law_evidence_gate_chair_review_v1.tex,active,2026-07-01T06:37:08Z,2026-07-01T06:37:08Z,V13 Gate Chair boundary permits only scoped source-extension matter-semantics adoption-readiness evidence precondition acceptance while preserving all source-law SourceMatterSemanticsAdoptionReadinessLaw_v1 law source-extension-data matter-semantics detector-semantics matter-coupling stress-energy matter-action Einstein-equation downstream GR global-impossibility and generated-output authority blocks
CB-V13-P2-T02-SOURCE-MATTER-SEMANTICS-ADOPTION-READINESS-LAW-SELECTOR-001,task,research_control/tasks/RT-20260701-008,Classify post-stress SourceMatterSemanticsAdoptionReadinessLaw_v1 route;select future narrow Gate Chair evidence-status precondition review;prepare exact scoped gate question;preserve blocked_adoption_open_continuation;no physics claim promotion,selector route as source-law adoption;selector route as SourceMatterSemanticsAdoptionReadinessLaw_v1 adoption;selector route as source-extension data adoption beyond exact scoped gate result;selector route as matter-semantics adoption;selector route as detector-semantics adoption;selector route as coupling-law adoption;selector route as matter coupling;selector route as stress-energy semantics;selector route as matter action;selector route as MetricData(E);selector route as g_eff;selector route as Einstein equations;selector route as benchmark promotion;selector route as completed derivation;selector route as Gate Chair verdict;future source-extension impossibility;global theory rejection;registry metadata as proof;validator as proof;role as proof;approval as proof;commit status as proof,canonical ontology edit;canonical-ontology candidate status;source-law adoption;source-extension data adoption beyond exact scoped gate results;MetricData(E) adoption;g_eff adoption or scope expansion;coupling-law adoption;matter-semantics adoption;detector-semantics adoption;matter-coupling derivation;matter-coupling adoption;stress-energy semantics;stress-energy tensor;matter action;Einstein equations adoption;benchmark promotion;completed derivation;Gate Chair verdict by selector;physics claim promotion;future source-extension impossibility;global theory rejection,research_control/tasks/RT-20260701-008/artifacts/source_matter_semantics_adoption_readiness_law_post_stress_selector_v1.yaml,active,2026-07-01T06:10:09Z,2026-07-01T06:10:09Z,V13 P2-T02 selector boundary permits only route selection to a future narrow Gate Chair evidence-status precondition review while preserving all source-law source-extension-data MetricData g_eff coupling matter-semantics detector-semantics matter-coupling stress-energy Einstein-equation benchmark and completed-derivation blocks
CB-V13-P2-T01-SOURCE-MATTER-SEMANTICS-ADOPTION-READINESS-LAW-REFUTER-STRESS-001,task,research_control/tasks/RT-20260701-007,Stress SourceMatterSemanticsAdoptionReadinessLaw_v1;classify stress result as bridge_facing_candidate_path pending selector;record fail-closed stress table;handoff to P2-T02 selector;preserve blocked_adoption_open_continuation;no physics claim promotion,stress survival as source-law adoption;stress survival as SourceMatterSemanticsAdoptionReadinessLaw_v1 adoption;stress survival as source-extension data adoption beyond exact scoped gate result;stress survival as matter-semantics adoption;stress survival as detector-semantics adoption;stress survival as coupling-law adoption;stress survival as matter coupling;stress survival as stress-energy semantics;stress survival as matter action;stress survival as MetricData(E);stress survival as g_eff;stress survival as Einstein equations;stress survival as benchmark promotion;stress survival as completed derivation;RR_E collapse as irrelevance theorem;no-target certificates as positive matter semantics;stress result as proof authority;future source-extension impossibility;global theory rejection;registry metadata as proof;validator as proof;role as proof;approval as proof;commit status as proof,canonical ontology edit;canonical-ontology candidate status;source-law adoption;source-extension data adoption beyond exact scoped gate results;MetricData(E) adoption;g_eff adoption or scope expansion;coupling-law adoption;matter-semantics adoption;detector-semantics adoption;matter-coupling derivation;matter-coupling adoption;stress-energy semantics;stress-energy tensor;matter action;Einstein equations adoption;benchmark promotion;completed derivation;Gate Chair verdict;physics claim promotion;future source-extension impossibility;global theory rejection,research_control/tasks/RT-20260701-007/artifacts/source_matter_semantics_adoption_readiness_law_refuter_stress_v1.tex,active,2026-07-01T05:46:19Z,2026-07-01T05:46:19Z,V13 P2-T01 law-target stress boundary permits only guarded Refuter stress and P2-T02 selector handoff while preserving all source-law source-extension-data MetricData g_eff coupling matter-semantics detector-semantics matter-coupling stress-energy Einstein-equation benchmark and completed-derivation blocks
CB-V13-P0-T04-EXECUTION-GATE-001,task,research_control/tasks/RT-20260701-006,Read P0-T02 and P0-T03 artifacts;determine serialized P1/P2 ordering;select exactly one next task P2-T01;handoff to Refuter stress;no physics claim change,P0-T04 as physics proof;P0-T04 as source-law adoption;P0-T04 as source-extension data adoption;P0-T04 as Gate Chair verdict;P0-T04 as matter coupling;P0-T04 as Einstein-equation evidence;P0-T04 as benchmark promotion;P0-T04 as completed derivation;P0-T04 as P2-T01 execution;P0-T04 as global authorization for all v13 phases;execution gate as claim promotion;execution gate as overriding scientific source authority,canonical ontology edit;source-law adoption;source-extension data adoption beyond exact scoped gate results;MetricData(E) adoption;g_eff adoption or scope expansion;coupling-law adoption;matter-semantics adoption;detector-semantics adoption;matter-coupling derivation;matter-coupling adoption;stress-energy semantics;stress-energy tensor;matter action;Einstein equations adoption;benchmark promotion;completed derivation;Gate Chair verdict;physics claim promotion;future source-extension impossibility;global theory rejection,implementations_plans/recommendations_implementation_plan_continue_task-v13.md,active,2026-07-01T05:31:10Z,2026-07-01T05:31:10Z,V13 P0-T04 permits only project-control execution gating and next-task selection while preserving all science and promotion blocks.
CB-V13-P0-T03-TRACE-MATRIX-001,task,research_control/tasks/RT-20260701-005,Create v13 recommendation trace matrix;map R1 through R15 to phases tasks artifacts validators dependencies and claim boundaries;map every v13 task to at least one recommendation or all-phase control scope;handoff to P0-T04 execution gate;no physics claim change,trace matrix as physics proof;trace matrix as source-law adoption;trace matrix as source-extension data adoption;trace matrix as Gate Chair verdict;trace matrix as matter coupling;trace matrix as Einstein-equation evidence;trace matrix as benchmark promotion;trace matrix as completed derivation;P0-T03 as execution of all v13 phases;trace matrix as claim promotion;trace matrix as overriding scientific source authority,canonical ontology edit;source-law adoption;source-extension data adoption beyond exact scoped gate results;MetricData(E) adoption;g_eff adoption or scope expansion;coupling-law adoption;matter-semantics adoption;detector-semantics adoption;matter-coupling derivation;matter-coupling adoption;stress-energy semantics;stress-energy tensor;matter action;Einstein equations adoption;benchmark promotion;completed derivation;Gate Chair verdict;physics claim promotion;future source-extension impossibility;global theory rejection,implementations_plans/recommendations_implementation_plan_continue_task-v13.md,active,2026-07-01T04:56:56Z,2026-07-01T04:56:56Z,V13 P0-T03 permits only project-control traceability and execution-gate handoff while preserving all science and promotion blocks.
CB-V13-P0-T02-BASELINE-RECONCILIATION-001,task,research_control/tasks/RT-20260701-004,Compare v13 assumed baseline with live tracked state;record verdict v13_baseline_advanced_adapt_plan;mark P0-T01 as completed prior evidence;handoff to P0-T03 trace matrix;preserve handoff-0411 deferred scientific route;no physics claim change,baseline reconciliation as physics proof;baseline reconciliation as source-law adoption;baseline reconciliation as source-extension data adoption;baseline reconciliation as Gate Chair verdict;baseline reconciliation as matter coupling;baseline reconciliation as Einstein-equation evidence;baseline reconciliation as benchmark promotion;baseline reconciliation as completed derivation;P0-T02 as execution of all v13 phases;baseline reconciliation as claim promotion;baseline reconciliation as overriding scientific source authority,canonical ontology edit;source-law adoption;source-extension data adoption beyond exact scoped gate results;MetricData(E) adoption;g_eff adoption or scope expansion;coupling-law adoption;matter-semantics adoption;detector-semantics adoption;matter-coupling derivation;matter-coupling adoption;stress-energy semantics;stress-energy tensor;matter action;Einstein equations adoption;benchmark promotion;completed derivation;Gate Chair verdict;physics claim promotion;future source-extension impossibility;global theory rejection,implementations_plans/recommendations_implementation_plan_continue_task-v13.md,active,2026-07-01T04:42:11Z,2026-07-01T04:42:11Z,V13 P0-T02 permits only project-control baseline reconciliation and trace-matrix handoff while preserving all science and promotion blocks.
CB-V13-P0-T01-PLAN-INTAKE-001,task,research_control/tasks/RT-20260701-003,Register v13 implementation plan as project-control guidance;add matching tracking exception;preserve v12 historical evidence;handoff to P0-T02 baseline reconciliation;preserve handoff-0411 deferred scientific route;no physics claim change,v13 plan as physics proof;v13 plan as source-law adoption;v13 plan as source-extension data adoption;v13 plan as Gate Chair verdict;v13 plan as matter coupling;v13 plan as Einstein-equation evidence;v13 plan as benchmark promotion;v13 plan as completed derivation;P0-T01 as execution of all v13 phases;plan registration as claim promotion;plan registration as overriding scientific source authority,canonical ontology edit;source-law adoption;source-extension data adoption beyond exact scoped gate results;MetricData(E) adoption;g_eff adoption or scope expansion;coupling-law adoption;matter-semantics adoption;detector-semantics adoption;matter-coupling derivation;matter-coupling adoption;stress-energy semantics;stress-energy tensor;matter action;Einstein equations adoption;benchmark promotion;completed derivation;Gate Chair verdict;physics claim promotion;future source-extension impossibility;global theory rejection,implementations_plans/recommendations_implementation_plan_continue_task-v13.md,active,2026-07-01T04:25:00Z,2026-07-01T04:25:00Z,V13 P0-T01 permits only project-control plan intake and baseline handoff while preserving all science and promotion blocks.
CB-V12-P7-T03-SOURCE-MATTER-SEMANTICS-ADOPTION-READINESS-LAW-AUDIT-001,task,research_control/tasks/RT-20260701-002,Audit proposal-only SourceMatterSemanticsAdoptionReadinessLaw_v1 for target imports and process-authority laundering;classify source pure as written pending stress;handoff to Refuter stress;preserve blocked_adoption_open_continuation;no physics claim promotion,canonical ontology edit;canonical-ontology candidate status;source-law adoption;SourceMatterSemanticsAdoptionReadinessLaw_v1 adoption;source-extension data adoption beyond exact scoped gate results;MetricData(E) adoption;g_eff adoption or scope expansion;coupling-law adoption;matter-semantics adoption;detector-semantics adoption;matter-coupling derivation;matter-coupling adoption;stress-energy semantics import;stress-energy tensor construction;matter action import;empirical calibration import;Einstein equation derivation;benchmark promotion;completed derivation claim;audit_ready as adoption;readiness law as matter semantics;readiness law as detector semantics;readiness law as coupling law;readiness law as matter coupling;readiness law as stress-energy semantics;readiness law as matter action;readiness law as Einstein equations;no-target certificates as positive matter semantics;audit pass as proof authority;future source-extension impossibility;global theory rejection;registry metadata as proof;validator as proof;role as proof;approval as proof;commit status as proof,canonical ontology edit;canonical-ontology candidate status;source-law adoption;source-extension data adoption beyond exact scoped gate results;MetricData(E) adoption;g_eff adoption or scope expansion;coupling-law adoption;matter-semantics adoption;detector-semantics adoption;matter-coupling derivation;matter-coupling adoption;stress-energy semantics;stress-energy tensor;matter action;Einstein equations adoption;benchmark promotion;completed derivation;Gate Chair verdict;physics claim promotion;future source-extension impossibility;global theory rejection,research_control/tasks/RT-20260701-002/artifacts/source_matter_semantics_adoption_readiness_law_smuggling_audit_v1.tex,active,2026-07-01T01:20:18Z,2026-07-01T01:20:18Z,V12 P7-T03 law-target audit boundary permits only guarded source-purity audit and Refuter stress handoff while preserving all source-law source-extension-data MetricData g_eff coupling matter-semantics detector-semantics matter-coupling stress-energy Einstein-equation benchmark and completed-derivation blocks
CB-V12-P7-T03-SOURCE-MATTER-SEMANTICS-ADOPTION-READINESS-LAW-TARGET-001,task,research_control/tasks/RT-20260701-001,Formalize proposal-only SourceMatterSemanticsAdoptionReadinessLaw_v1 source-side law target readiness map proof obligations and fail-closed branches;handoff to smuggling audit;preserve blocked_adoption_open_continuation;no physics claim promotion,canonical ontology edit;canonical-ontology candidate status;source-law adoption;SourceMatterSemanticsAdoptionReadinessLaw_v1 adoption;source-extension data adoption beyond exact scoped gate results;MetricData(E) adoption;g_eff adoption or scope expansion;coupling-law adoption;matter-semantics adoption;detector-semantics adoption;matter-coupling derivation;matter-coupling adoption;stress-energy semantics import;stress-energy tensor construction;matter action import;empirical calibration import;Einstein equation derivation;benchmark promotion;completed derivation claim;audit_ready as adoption;readiness law as matter semantics;readiness law as detector semantics;readiness law as coupling law;readiness law as matter coupling;readiness law as stress-energy semantics;readiness law as matter action;readiness law as Einstein equations;future source-extension impossibility;global theory rejection;registry metadata as proof;role as proof;approval as proof;commit status as proof,canonical ontology edit;canonical-ontology candidate status;source-law adoption;source-extension data adoption beyond exact scoped gate results;MetricData(E) adoption;g_eff adoption or scope expansion;coupling-law adoption;matter-semantics adoption;detector-semantics adoption;matter-coupling derivation;matter-coupling adoption;stress-energy semantics;stress-energy tensor;matter action;Einstein equations adoption;benchmark promotion;completed derivation;Gate Chair verdict;physics claim promotion;future source-extension impossibility;global theory rejection,research_control/tasks/RT-20260701-001/artifacts/source_matter_semantics_adoption_readiness_law_target_v1.tex,active,2026-07-01T00:49:13Z,2026-07-01T00:49:13Z,V12 P7-T03 law-target boundary permits only proposal-only SourceMatterSemanticsAdoptionReadinessLaw_v1 formalization and audit routing while preserving all source-law source-extension-data MetricData g_eff coupling matter-semantics detector-semantics matter-coupling stress-energy Einstein-equation benchmark and completed-derivation blocks
CB-V12-P7-T03-POST-MS-STABLE-BRIDGE-EVIDENCE-ROUTE-SELECTOR-001,task,research_control/tasks/RT-20260630-057,Classify post-MSStableMatterSemanticsBridge_v1 evidence route only;select future Ontology Formalizer proposal-only SourceMatterSemanticsAdoptionReadinessLaw_v1 target;preserve blocked_adoption_open_continuation;no physics claim promotion,canonical ontology edit;canonical-ontology candidate status;source-law adoption;source-extension data adoption beyond exact scoped gate results;MetricData(E) adoption;g_eff adoption or scope expansion;coupling-law adoption;matter-semantics adoption;detector-semantics adoption;matter-coupling derivation;matter-coupling adoption;stress-energy semantics import;stress-energy tensor construction;matter action import;empirical calibration import;Gate Chair verdict;protected evidence-status acceptance by selector;selector result as source-law adoption;selector result as source-extension data adoption;selector result as matter semantics;selector result as detector semantics;selector result as coupling-law adoption;selector result as matter coupling;selector result as stress-energy semantics;selector result as matter action;selector result as Einstein equations;selector result as future source-extension impossibility;selector result as global theory rejection;current_frontier snapshot as status authority;generated memory as physics evidence;generated wiki as canonical selector result;semantic extract as proof;vault note as proof;file-object row as proof;relationship row as proof;local cache as proof;validator output as proof;registry metadata as proof;role as proof;approval as proof;commit status as proof,canonical ontology edit;canonical-ontology candidate status;source-law adoption;source-extension data adoption beyond exact scoped gate results;MetricData(E) adoption;g_eff adoption or scope expansion;coupling-law adoption;matter-semantics adoption;detector-semantics adoption;matter-coupling derivation;matter-coupling adoption;stress-energy semantics;stress-energy tensor;matter action;Einstein equations adoption;benchmark promotion;completed derivation;Gate Chair verdict by selector;physics claim promotion;future source-extension impossibility;global theory rejection,research_control/tasks/RT-20260630-057/artifacts/post_ms_stable_bridge_evidence_route_selector_v1.yaml,active,2026-07-01T00:23:00Z,2026-07-01T00:23:00Z,V12 post-MSStableMatterSemanticsBridge evidence selector boundary permits only route selection to a future Ontology Formalizer law-target packet while preserving all source-law source-extension-data MetricData g_eff coupling matter-semantics detector-semantics matter-coupling stress-energy Einstein-equation benchmark and completed-derivation blocks
