signal_id,created_at,source_task_id,source_job_id,source_role_id,signal_type,severity,status,evidence_path,recommended_skill,recommended_role,notes,resolved_by_job_id,resolution_evidence_path,resolved_at
PIS-RT-20260803-014-001,2026-08-03T20:39:26Z,RT-20260803-014,AJ-RT-20260803-014-001,external-red-team-reviewer,control_contract_drift,high,resolved,research_control/tasks/RT-20260803-014/artifacts/v21_p16_t04_severity_repair_matrix.yaml,improve-project-system,project-control-maintainer,AJ-RT-20260803-015-001 aligns the current internal skeptical-review contract and display projection preserves historical identities and requires taxonomy-qualified external human review or independent replication evidence.,AJ-RT-20260803-015-001,research_control/tasks/RT-20260803-015/jobs/completions/AJC-AJ-RT-20260803-015-001.yaml,2026-08-03T22:21:45Z
PIS-RT-20260803-010-001,2026-08-03T15:43:23Z,RT-20260803-010,AJ-RT-20260803-010-001,external-red-team-reviewer,control_contract_drift,high,resolved,research_control/tasks/RT-20260803-010/artifacts/v21_p16_t02_reaudit_findings.yaml,improve-project-system,project-control-maintainer,Preserve sealed RT-20260803-005 evidence and synchronize the exact Gate A decision row with a fresh fail-closed exact-object validator plus regression coverage.,AJ-RT-20260803-011-001,research_control/tasks/RT-20260803-011/jobs/completions/AJC-AJ-RT-20260803-011-001.yaml,2026-08-03T16:47:10Z
PIS-RT-20260803-003-001,2026-08-03T05:08:32Z,RT-20260803-003,AJ-RT-20260803-003-001,external-red-team-reviewer,control_contract_drift,high,resolved,research_control/tasks/RT-20260803-003/artifacts/v21_p16_t02_overread_findings.yaml,improve-project-system,project-control-maintainer,Generation 234 preserves the implemented status payload and resolves its final P10-T05 current-renderer authority-binding blocker through one exact fail-closed chain.,AJ-RT-20260803-006-001,research_control/tasks/RT-20260803-006/jobs/completions/AJC-AJ-RT-20260803-006-001.yaml,2026-08-03T10:00:44Z
PIS-RT-20260614-007-001,2026-06-15T00:11:35Z,RT-20260614-007,AJ-RT-20260614-007-001,ontology-formalizer,workflow_friction,high,resolved,research_control/tasks/RT-20260614-007/jobs/completions/AJC-AJ-RT-20260614-007-001.yaml,improve-project-system,project-system-director,Continue-research routing should explicitly recognize that novel research often requires external primary-literature search or bounded theoretical construction when a required datum is absent from the repository and not user supplied.,AJ-RT-20260614-008-001,research_control/tasks/RT-20260614-008/jobs/completions/AJC-AJ-RT-20260614-008-001.yaml,2026-06-15T00:18:46Z
PIS-RT-20260610-001-001,2026-06-10T02:22:13Z,RT-20260610-001,AJ-RT-20260610-001-001,validator-engineer,workflow_friction,low,resolved,research_control/tasks/RT-20260610-001/jobs/completions/AJC-AJ-RT-20260610-001-001.yaml,improve-project-system,project-system-director,Project-system improvement now has a dedicated signal registry and resolver.,AJ-RT-20260610-002-001,research_control/tasks/RT-20260610-002/jobs/completions/AJC-AJ-RT-20260610-002-001.yaml,2026-06-10T03:10:45Z
PIS-RT-20260621-010-001,2026-06-21T17:47:42Z,RT-20260621-010,AJ-RT-20260621-010-001,memory-system-maintainer,memory_retrieval_failure,high,resolved,research_control/tasks/RT-20260621-010/DDR-20260621-010.md,improve-project-system,memory-system-maintainer,Exact-ID and hyphenated memory search failure reproduced for MSL-MSRC-ATLASGLUE-LAW and missing exact registry-field fallback.,AJ-RT-20260621-010-001,research_control/tasks/RT-20260621-010/jobs/completions/AJC-AJ-RT-20260621-010-001.yaml,2026-06-21T18:03:01Z
PIS-RT-20260621-010-002,2026-06-21T17:47:42Z,RT-20260621-010,AJ-RT-20260621-010-001,memory-system-maintainer,generated_artifact_drift,medium,resolved,research_control/tasks/RT-20260621-010/DDR-20260621-010.md,improve-project-system,memory-system-maintainer,Local Obsidian mirror and SQLite freshness warnings need structured separation from core validation PASS FAIL output.,AJ-RT-20260621-010-001,research_control/tasks/RT-20260621-010/jobs/completions/AJC-AJ-RT-20260621-010-001.yaml,2026-06-21T18:03:01Z
PIS-RT-20260621-010-003,2026-06-21T17:47:42Z,RT-20260621-010,AJ-RT-20260621-010-001,memory-system-maintainer,validator_gap,medium,resolved,research_control/tasks/RT-20260621-010/DDR-20260621-010.md,improve-project-system,validator-engineer,Strict YAML inline empty-list support and memory-preflight validator guidance need focused repair.,AJ-RT-20260621-010-001,research_control/tasks/RT-20260621-010/jobs/completions/AJC-AJ-RT-20260621-010-001.yaml,2026-06-21T18:03:01Z
PIS-RT-20260621-010-004,2026-06-21T17:47:42Z,RT-20260621-010,AJ-RT-20260621-010-001,memory-system-maintainer,workflow_friction,medium,resolved,research_control/tasks/RT-20260621-010/DDR-20260621-010.md,improve-project-system,validator-engineer,Documentation-impact classifier and validator messages need clearer valid no-op receipt guidance.,AJ-RT-20260621-010-001,research_control/tasks/RT-20260621-010/jobs/completions/AJC-AJ-RT-20260621-010-001.yaml,2026-06-21T18:03:01Z
PIS-RT-20260718-015-001,2026-07-19T04:41:16Z,RT-20260718-015,AJ-RT-20260718-015-001,ontology-formalizer,validator_gap,high,resolved,research_control/tasks/RT-20260718-015/jobs/completions/AJC-AJ-RT-20260718-015-001.yaml,improve-project-system,validator-engineer,Checkpoint planner rejects mandatory compact-current-frontier YAML and JSON as unknown_governed_path and cannot produce a safe shadow plan; the research transaction remains unstaged and uncommitted until governed classifier or registry repair.,AJ-RT-20260718-016-001,research_control/tasks/RT-20260718-016/jobs/completions/AJC-AJ-RT-20260718-016-001.yaml,2026-07-19T05:08:30Z
