decision_id,task_id,decision_path,director_version,decision_type,selected_role_id,selected_role_version,agent_job_id,status,supersedes_decision_id,requires_human_gate,created_at,activated_at,completed_at,validation_status,notes
DDR-20260816-012,RT-20260816-012,research_control/tasks/RT-20260816-012/DDR-20260816-012.md,director-of-research@0.3.0,task_overlay,refuter,0.2.0,AJ-RT-20260816-012-001,completed,DDR-20260816-011,false,2026-08-16T21:48:18Z,2026-08-16T21:48:18Z,2026-08-16T22:14:09Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,Completed one fixed-candidate stress with scoped_obstruction and candidate-local freeze; one theoretical selector is selected but not executed.
DDR-20260815-009,RT-20260815-009,research_control/tasks/RT-20260815-009/DDR-20260815-009.md,director-of-research@0.3.0,task_overlay,theoretical-continuation-selector,0.1.0,AJ-RT-20260815-009-001,completed,DDR-20260815-008,false,2026-08-16T05:34:15Z,2026-08-16T05:34:15Z,2026-08-16T06:15:00Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,"Completed selector chooses Route B under mandatory constructive preference; the proposal-only future packet remains unexecuted and unadopted."
DDR-20260815-008,RT-20260815-008,research_control/tasks/RT-20260815-008/DDR-20260815-008.md,project-system-director@0.2.0,task_overlay,process-integrity-auditor,0.1.0,AJ-RT-20260815-008-001,completed,DDR-20260815-007,false,2026-08-16T04:50:31Z,2026-08-16T04:50:31Z,2026-08-16T04:50:31Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,Exact two-byte handoff-1041 Markdown identity recovery with protected scientific records unchanged and one governed checkpoint pending.
DDR-20260815-007,RT-20260815-007,research_control/tasks/RT-20260815-007/DDR-20260815-007.md,director-of-research@0.3.0,task_overlay,ontology-formalizer,0.2.0,AJ-RT-20260815-007-001,completed,DDR-20260815-006,false,2026-08-16T02:37:22Z,2026-08-16T02:37:22Z,2026-08-16T03:29:06Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,"The canonical current-topology Open-carrier theorem is complete; its scope preserves every occurrence physical and downstream authority block and one theoretical selector remains unexecuted."
DDR-20260815-006,RT-20260815-006,research_control/tasks/RT-20260815-006/DDR-20260815-006.md,director-of-research@0.3.0,task_overlay,theoretical-continuation-selector,0.1.0,AJ-RT-20260815-006-001,completed,DDR-20260815-005,false,2026-08-15T22:41:47Z,2026-08-15T22:41:47Z,2026-08-15T23:25:00Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,"The completed selector chose the canonical source Open-event fibration typing/descent theorem packet; the future packet remains unexecuted and protected authority unchanged."
DDR-20260815-005,RT-20260815-005,research_control/tasks/RT-20260815-005/DDR-20260815-005.md,director-of-research@0.3.0,task_overlay,process-integrity-auditor,0.1.0,AJ-RT-20260815-005-001,completed,DDR-20260815-004,false,2026-08-15T21:00:41Z,2026-08-15T21:00:41Z,2026-08-15T21:00:41Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,"The exact tracked blocker uniquely selects receipt parity recovery and one fresh checkpoint without science or route execution."
DDR-20260815-004,RT-20260815-004,research_control/tasks/RT-20260815-004/DDR-20260815-004.md,director-of-research@0.3.0,task_overlay,project-control-maintainer,0.2.0,AJ-RT-20260815-004-001,completed,DDR-20260815-003,false,2026-08-15T20:20:00Z,2026-08-15T20:20:00Z,2026-08-15T20:47:48Z,FAIL,"The exact mirror repair passes, but the sole checkpoint fails staged documentation-impact acceptance on FOLDER_MAP.md coverage; no commit or scientific change occurs."
DDR-20260815-003,RT-20260815-003,research_control/tasks/RT-20260815-003/DDR-20260815-003.md,director-of-research@0.3.0,task_overlay,ontology-formalizer,0.2.0,AJ-RT-20260815-003-001,completed,DDR-20260815-002,false,2026-08-15T18:46:57Z,2026-08-15T18:46:57Z,2026-08-15T19:18:00Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,Completed Director decision records one scoped current-source proposal-carrier typing/provenance obstruction and one unexecuted selector.
DDR-20260815-002,RT-20260815-002,research_control/tasks/RT-20260815-002/DDR-20260815-002.md,director-of-research@0.3.0,task_overlay,theoretical-continuation-selector,0.1.0,AJ-RT-20260815-002-001,completed,DDR-20260815-001,false,2026-08-15T16:26:14Z,2026-08-15T16:26:14Z,2026-08-15T17:00:07Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,Completed Director decision records unanimous Route A selection and leaves the future occurrence-admissibility theorem packet unexecuted.
DDR-20260815-001,RT-20260815-001,research_control/tasks/RT-20260815-001/DDR-20260815-001.md,director-of-research@0.3.0,task_overlay,refuter,0.2.0,AJ-RT-20260815-001-001,completed,DDR-20260814-006,false,2026-08-15T14:42:23Z,2026-08-15T14:42:23Z,2026-08-15T15:17:03Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,The exact fixed-candidate stress returns scoped_obstruction preserves all conditional mathematics adds one candidate-local freeze and selects one later theoretical-continuation-selector without execution or promotion.
DDR-20260814-006,RT-20260814-006,research_control/tasks/RT-20260814-006/DDR-20260814-006.md,director-of-research@0.3.0,task_overlay,smuggling-auditor,0.2.0,AJ-RT-20260814-006-001,completed,DDR-20260814-005,false,2026-08-15T02:15:50Z,2026-08-15T02:15:50Z,2026-08-15T02:53:00Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,Completed the fixed-candidate projective-conormal hidden-import audit with the narrow source_pure_as_written verdict and one unexecuted robustness and natural-selection Refuter stress successor.
DDR-20260814-005,RT-20260814-005,research_control/tasks/RT-20260814-005/DDR-20260814-005.md,director-of-research@0.3.0,task_overlay,candidate-constructor,0.2.0,AJ-RT-20260814-005-001,completed,DDR-20260814-004,false,2026-08-15T00:54:27Z,2026-08-15T00:54:27Z,2026-08-15T01:20:23Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,Completed one proposal-only projective-conormal reduction bridge candidate with one unexecuted Smuggling Auditor and no protected authority.
DDR-20260814-004,RT-20260814-004,research_control/tasks/RT-20260814-004/DDR-20260814-004.md,director-of-research@0.3.0,task_overlay,refuter,0.2.0,AJ-RT-20260814-004-001,completed,DDR-20260814-003,false,2026-08-14T23:18:43Z,2026-08-14T23:18:43Z,2026-08-14T23:54:06Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,Completed the scoped K_star standalone local-bridge irrelevance theorem with one local freeze and one unexecuted source-local reduction witness packet.
DDR-20260814-003,RT-20260814-003,research_control/tasks/RT-20260814-003/DDR-20260814-003.md,director-of-research@0.3.0,task_overlay,theoretical-continuation-selector,0.1.0,AJ-RT-20260814-003-001,completed,DDR-20260814-002,false,2026-08-14T21:50:45Z,2026-08-14T21:50:45Z,2026-08-14T22:20:00Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,Completed Route A selection with one K_star localization and bridge-irrelevance theorem packet unexecuted pending checkpoint.
DDR-20260814-002,RT-20260814-002,research_control/tasks/RT-20260814-002/DDR-20260814-002.md,director-of-research@0.3.0,task_overlay,ontology-formalizer,0.2.0,AJ-RT-20260814-002-001,completed,DDR-20260814-001,false,2026-08-14T15:28:14Z,2026-08-14T15:28:14Z,2026-08-14T16:15:00Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,Completed the current-source audit with the K_star mathematical subgroupoid theorem and an unexecuted theoretical selector while preserving every adoption and downstream block.
DDR-20260814-001,RT-20260814-001,research_control/tasks/RT-20260814-001/DDR-20260814-001.md,director-of-research@0.3.0,task_overlay,theoretical-continuation-selector,0.1.0,AJ-RT-20260814-001-001,completed,DDR-20260813-001,false,2026-08-14T14:01:47Z,2026-08-14T14:01:47Z,2026-08-14T14:33:30Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,Completed Route A selection with current-source equivariant-asymmetry audit packet unexecuted pending checkpoint.
DDR-20260813-001,RT-20260813-001,research_control/tasks/RT-20260813-001/DDR-20260813-001.md,project-system-director@0.2.0,task_overlay,process-integrity-auditor,0.1.0,AJ-RT-20260813-001-001,completed,DDR-20260812-002,false,2026-08-14T03:06:47Z,2026-08-14T03:06:47Z,2026-08-14T03:06:47Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,Exact two-byte handoff-1029 Markdown identity recovery with protected scientific records unchanged and one governed checkpoint pending.
DDR-20260812-002,RT-20260812-002,research_control/tasks/RT-20260812-002/DDR-20260812-002.md,director-of-research@0.3.0,task_overlay,candidate-constructor,0.2.0,AJ-RT-20260812-002-001,completed,DDR-20260812-001,false,2026-08-13T05:10:55Z,2026-08-13T05:10:55Z,2026-08-13T05:41:01Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,Completed one finite typed packet with a precise source-provenance obstruction and one theoretical selector selected but unexecuted.
DDR-20260812-001,RT-20260812-001,research_control/tasks/RT-20260812-001/DDR-20260812-001.md,director-of-research@0.3.0,task_overlay,theoretical-continuation-selector,0.1.0,AJ-RT-20260812-001-001,completed,DDR-20260811-013,false,2026-08-12T01:55:13Z,2026-08-12T01:55:13Z,2026-08-12T03:00:43Z,PASS_PRECHECKPOINT_STAGING_REQUIRED,Handoff-1027 and committed RT013 authorized one completed four-route selector with Route C selected under six fail-closed gates and no selected-packet execution.
