use_id,task_id,artifact_path,object_used,use_category,declared_scope,allowed_use,forbidden_interpretations,no_target_guard_path,audit_status,stress_status,created_at,notes
MUL-RT-20260726-007-001,RT-20260726-007,research_control/tasks/RT-20260726-007/artifacts/source_scale_calibration_nonselection_v1.tex,g_a;g_mu;Lorentzian_metric;proper_time_guard;density_and_phase_scope_guard,finite_local_witness_context,P6-T04 task-local Lorentzian comparison metrics conditional volume representative and density-phase scope guard for scale-calibration nonselection only,Use only as explicit fixed-density countermodel conditional Weyl-gauge and relative-cycle evidence under the P6-T04 claim boundary,physical_lorentzian_metric;physical_volume;proper_time_normalization;physical_clock_or_rod;detector_calibration;stress_energy_semantics;matter_action_premise;Einstein_equation_premise;benchmark_fit_premise,research_control/tasks/RT-20260726-007/artifacts/source_scale_calibration_nonselection_spec_v1.yaml,audited_clean,scoped_obstruction,2026-07-26T18:04:11Z,Comparison metrics are task-local test objects only; density phases and proper-time language remain unnormalized guards and they do not adopt source or target geometry expand historical scoped g_eff choose physical scale or unlock matter and field equations.
MUL-RT-20260726-005-001,RT-20260726-005,research_control/tasks/RT-20260726-005/artifacts/one_ray_conformal_insufficiency_v1.tex,g_H;tilde_g_a;Lorentzian_metric;g_eff_scope_guard,finite_local_witness_context,P6-T03 task-local Lorentzian comparison metrics and detector-calibration guard for one-ray conformal nonselection only,Use only as explicit countermodel and null-ray insufficiency evidence under the P6-T03 claim boundary,physical_lorentzian_metric;proper_time_normalization;detector_calibration;stress_energy_semantics;matter_action_premise;Einstein_equation_premise;benchmark_fit_premise,research_control/tasks/RT-20260726-005/artifacts/one_ray_conformal_insufficiency_spec_v1.yaml,audited_clean,scoped_obstruction,2026-07-26T14:33:44Z,Comparison metrics are task-local test objects only; detector calibration remains unestablished and they do not adopt source or target geometry expand historical scoped g_eff choose scale or unlock matter and field equations.
MUL-RT-20260706-007-001,RT-20260706-007,research_control/tasks/RT-20260614-222/artifacts/251_NONBOTTOM_METRICDATA_WITNESS_SRC_GSC_POST_GATE_GEFF_CANDIDATE_SCOPED_SOURCE_EXTENSION_ADOPTION_GATE_CHAIR_REVIEW.tex,g_eff,scoped_source_extension_context,Scoped source-extension g_eff object in Gate Chair review only,Use as source-extension context under declared source-side scope,physical_lorentzian_metric;proper_time_normalization;detector_calibration;stress_energy_semantics;matter_action_premise;Einstein_equation_premise;benchmark_fit_premise,research_control/tasks/RT-20260614-222/artifacts/251_NONBOTTOM_METRICDATA_WITNESS_SRC_GSC_POST_GATE_GEFF_CANDIDATE_SCOPED_SOURCE_EXTENSION_ADOPTION_GATE_CHAIR_REVIEW.tex,audited_clean,not_applicable,2026-07-06T07:14:55Z,Covers g_eff line cluster 22 33 54 55 60 99 232 and preserves scoped context only
MUL-RT-20260706-007-002,RT-20260706-007,research_control/tasks/RT-20260614-222/artifacts/251_NONBOTTOM_METRICDATA_WITNESS_SRC_GSC_POST_GATE_GEFF_CANDIDATE_SCOPED_SOURCE_EXTENSION_ADOPTION_GATE_CHAIR_REVIEW.tex,MetricFormAssign_and_MetricData(E)_candidate_language,source_side_relation_input_candidate,Metric-form evidence and source-side relation candidate language only,Use as source-side relation input candidate not target MetricData(E) adoption,physical_lorentzian_metric;proper_time_normalization;detector_calibration;stress_energy_semantics;matter_action_premise;Einstein_equation_premise;benchmark_fit_premise,research_control/tasks/RT-20260614-222/artifacts/251_NONBOTTOM_METRICDATA_WITNESS_SRC_GSC_POST_GATE_GEFF_CANDIDATE_SCOPED_SOURCE_EXTENSION_ADOPTION_GATE_CHAIR_REVIEW.tex,audited_clean,not_applicable,2026-07-06T07:14:55Z,Covers metric-form lines 89 121 204 and blocks MetricData(E) adoption
MUL-RT-20260706-007-003,RT-20260706-007,research_control/tasks/RT-20260614-222/artifacts/251_NONBOTTOM_METRICDATA_WITNESS_SRC_GSC_POST_GATE_GEFF_CANDIDATE_SCOPED_SOURCE_EXTENSION_ADOPTION_GATE_CHAIR_REVIEW.tex,target_metric_Lorentzian_signature_proper_time,blocked_physical_metric_use,Target metric Lorentzian signature and proper-time language appears only as blocked import guard,Use only as fail-closed guard against target metric overread,physical_lorentzian_metric;proper_time_normalization;detector_calibration;stress_energy_semantics;matter_action_premise;Einstein_equation_premise;benchmark_fit_premise,research_control/tasks/RT-20260614-222/artifacts/251_NONBOTTOM_METRICDATA_WITNESS_SRC_GSC_POST_GATE_GEFF_CANDIDATE_SCOPED_SOURCE_EXTENSION_ADOPTION_GATE_CHAIR_REVIEW.tex,blocked_by_scope,not_applicable,2026-07-06T07:14:55Z,Covers lines 44 45 124 125 142 182 and blocks physical metric use
MUL-RT-20260706-007-004,RT-20260706-007,research_control/tasks/RT-20260614-222/artifacts/251_NONBOTTOM_METRICDATA_WITNESS_SRC_GSC_POST_GATE_GEFF_CANDIDATE_SCOPED_SOURCE_EXTENSION_ADOPTION_GATE_CHAIR_REVIEW.tex,detector_and_benchmark_semantics,blocked_physical_metric_use,Detector semantics and benchmark language appears only as blocked overread guard,Use only as guard against detector calibration and benchmark fit import,physical_lorentzian_metric;proper_time_normalization;detector_calibration;stress_energy_semantics;matter_action_premise;Einstein_equation_premise;benchmark_fit_premise,research_control/tasks/RT-20260614-222/artifacts/251_NONBOTTOM_METRICDATA_WITNESS_SRC_GSC_POST_GATE_GEFF_CANDIDATE_SCOPED_SOURCE_EXTENSION_ADOPTION_GATE_CHAIR_REVIEW.tex,blocked_by_scope,not_applicable,2026-07-06T07:14:55Z,Covers detector and benchmark guard lines 44 45 124 125 142 182
MUL-RT-20260706-007-005,RT-20260706-007,research_control/tasks/RT-20260614-222/artifacts/251_NONBOTTOM_METRICDATA_WITNESS_SRC_GSC_POST_GATE_GEFF_CANDIDATE_SCOPED_SOURCE_EXTENSION_ADOPTION_GATE_CHAIR_REVIEW.tex,stress_energy_semantics,blocked_physical_metric_use,Stress-energy semantics language appears only as blocked overread guard,Use only as guard against stress-energy import,physical_lorentzian_metric;proper_time_normalization;detector_calibration;stress_energy_semantics;matter_action_premise;Einstein_equation_premise;benchmark_fit_premise,research_control/tasks/RT-20260614-222/artifacts/251_NONBOTTOM_METRICDATA_WITNESS_SRC_GSC_POST_GATE_GEFF_CANDIDATE_SCOPED_SOURCE_EXTENSION_ADOPTION_GATE_CHAIR_REVIEW.tex,blocked_by_scope,not_applicable,2026-07-06T07:14:55Z,Covers stress-energy guard line 147 and blocks stress-energy semantics
MUL-RT-20260706-007-006,RT-20260706-007,research_control/tasks/RT-20260704-021/artifacts/source_side_coupling_law_target_specification_v1.tex,target_Lorentzian_metric_proper_time_guard,blocked_physical_metric_use,Target Lorentzian metric and proper-time references appear only as guard language,Use only to block target metric and proper-time imports,physical_lorentzian_metric;proper_time_normalization;detector_calibration;stress_energy_semantics;matter_action_premise;Einstein_equation_premise;benchmark_fit_premise,research_control/tasks/RT-20260704-021/artifacts/source_side_coupling_law_target_specification_v1.tex,blocked_by_scope,not_applicable,2026-07-06T07:14:55Z,Covers target metric and proper-time guard lines 184 185 314 390 392
MUL-RT-20260706-007-007,RT-20260706-007,research_control/tasks/RT-20260704-021/artifacts/source_side_coupling_law_target_specification_v1.tex,detector_semantics_and_calibration_guard,blocked_physical_metric_use,Detector semantics and calibration references appear only as placeholder or guard language,Use only to block detector semantics and calibration import,physical_lorentzian_metric;proper_time_normalization;detector_calibration;stress_energy_semantics;matter_action_premise;Einstein_equation_premise;benchmark_fit_premise,research_control/tasks/RT-20260704-021/artifacts/source_side_coupling_law_target_specification_v1.tex,blocked_by_scope,not_applicable,2026-07-06T07:14:55Z,Covers detector guard lines 66 75 116 163 169 177 179 264 265 285 286 316 366 370 401 402
MUL-RT-20260706-007-008,RT-20260706-007,research_control/tasks/RT-20260704-021/artifacts/source_side_coupling_law_target_specification_v1.tex,stress_energy_matter_action_Einstein_guard,blocked_physical_metric_use,Stress-energy matter-action Einstein and benchmark references appear only as blocked target imports,Use only as fail-closed guard against matter-physics promotion,physical_lorentzian_metric;proper_time_normalization;detector_calibration;stress_energy_semantics;matter_action_premise;Einstein_equation_premise;benchmark_fit_premise,research_control/tasks/RT-20260704-021/artifacts/source_side_coupling_law_target_specification_v1.tex,blocked_by_scope,not_applicable,2026-07-06T07:14:55Z,Covers stress-energy matter-action Einstein benchmark guard lines 67 184 185 252 253 314 366 370 390 392
